driverId,week,hours-logged,miles-logged
344,36,67,1000
155,45,68,4000
556,1,53,2800
924,17,71,2200
339,37,72,400
472,41,77,100
930,52,68,3300
188,36,69,3100
75,52,64,700
793,37,59,500
940,52,77,2600
431,25,77,2100
495,40,63,0
510,2,54,3600
195,13,59,1900
798,7,80,1100
694,21,66,3300
372,39,58,800
462,27,69,1500
273,11,71,3700
563,18,69,3200
53,39,71,1000
722,28,72,2900
31,10,66,3400
214,25,58,2800
172,20,72,200
838,30,71,700
665,34,73,1200
115,7,77,2000
967,17,65,2200
635,49,52,3200
522,26,52,3000
779,13,69,600
941,49,57,1900
593,20,76,1000
465,4,58,2800
156,7,63,3800
704,44,56,3600
922,27,53,1400
99,11,55,2100
769,49,62,2700
597,43,73,500
260,50,55,3100
180,37,51,2500
161,10,76,1400
527,17,63,1500
547,46,61,3100
746,40,52,2400
998,19,70,400
539,38,76,900
48,39,65,800
184,41,52,300
219,44,58,1300
638,26,63,2200
927,49,57,2500
203,34,69,2700
336,8,61,2300
48,40,75,900
720,17,80,1400
75,6,54,3300
907,41,67,4000
931,24,65,400
551,50,50,3800
360,15,50,0
365,47,73,3000
693,37,66,900
40,50,71,300
613,39,62,500
149,37,70,3100
316,51,78,1300
828,5,51,100
312,29,68,2200
37,38,76,2600
531,29,79,2900
585,27,57,3300
141,9,75,3000
705,8,70,3300
554,8,54,300
911,27,69,1200
866,50,68,1500
934,28,62,400
688,31,78,2200
592,14,52,1600
40,34,71,2400
313,41,60,2900
429,33,79,2600
696,41,76,0
65,3,51,700
619,26,78,1100
612,12,56,1100
368,23,53,3800
888,1,72,2500
323,23,71,1900
510,50,62,2300
429,13,53,2700
747,15,58,3200
853,36,51,3200
453,39,59,900
995,34,77,3000
411,2,65,800
458,4,61,3500
489,43,72,600
884,21,68,500
810,13,65,2800
836,11,61,1900
183,11,58,400
273,26,50,2900
879,4,79,2200
550,24,63,200
545,6,50,1300
816,31,79,1100
782,3,79,400
145,9,65,3600
1004,17,65,100
709,23,60,3100
94,32,51,3400
489,6,60,0
156,41,71,3800
228,32,79,2400
446,18,70,1500
927,6,78,3100
754,6,63,2200
321,33,59,2600
818,2,73,2800
735,14,53,1600
644,46,68,200
783,17,72,100
698,29,64,800
23,19,52,3700
500,12,50,2200
112,4,74,1000
119,1,66,1900
823,22,79,1500
587,14,70,2200
998,28,63,2800
315,34,74,2100
33,32,56,3900
372,8,59,2200
298,20,68,3500
749,45,61,3100
435,3,80,2900
618,49,64,200
69,30,55,3900
98,25,77,3200
980,24,64,700
744,11,65,2800
849,30,51,1400
762,22,62,1300
333,5,72,2600
561,49,71,700
632,6,61,300
479,41,56,3900
462,5,62,4000
802,4,76,700
737,16,54,1900
132,23,73,3400
177,14,66,2700
116,20,74,3800
451,1,53,500
814,49,70,1300
69,34,75,3600
797,25,63,2700
470,27,77,600
688,33,64,3000
817,18,56,3000
445,51,68,2700
390,1,50,700
756,46,59,2600
532,15,79,300
193,34,80,2000
932,30,66,3800
421,30,58,100
914,25,76,2600
178,29,59,3500
961,31,75,1400
20,31,66,2300
455,22,72,3400
373,23,77,3000
532,28,76,700
282,15,54,3200
